city,years,area,rooms,floor,building_type,heating_type,installation,price
Panevėžio m.,1978,"50,65",2,1,Centrinis,Mūrinis,Įrengtas,47500
Alytaus m.,1971,"53,05",2,1,Centrinis,Mūrinis,Įrengtas,40000
Druskininkų m.,1986,"53,14",2,5,Centrinis,Mūrinis,Įrengtas,69000
Mažeikių m.,1999,52,2,2,Centrinis,Blokinis,Įrengtas,43000
Kėdainių m.,1994,"81,27",4,4,Centrinis,Mūrinis,Įrengtas,60000
Klaipėdos m.,1992,87,4,3,Centrinis,Mūrinis,Įrengtas,90000
Kauno m.,1968,71,3,10,Centrinis,Mūrinis,Įrengtas,83500
Telšių m.,1982,"33,52",1,3,Centrinis,Blokinis,Įrengtas,22500
Klaipėdos m.,1960,20,1,1,Elektra,Mūrinis,Įrengtas,31000
Mažeikių m.,1983,"52,05",2,5,Centrinis,Blokinis,Įrengtas,30000
Šiaulių m.,1972,"50,30",2,5,Centrinis,Blokinis,Įrengtas,43900
Kazlų Rūdos m.,1988,"37,17",2,5,Centrinis,Blokinis,Įrengtas,21000
Klaipėdos m.,2008,64,2,25,Centriniskolektorinis,Monolitinis,Įrengtas,199000
Šiaulių m.,1989,82,4,4,Centrinis,Monolitinis,Įrengtas,90000
Šiaulių m.,1990,33,1,5,Centrinis,Blokinis,Įrengtas,34000
Marijampolės m.,1985,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,90000
Klaipėdos m.,1980,33,1,2,Centrinis,Blokinis,Įrengtas,48900
Vilniaus m.,2008,"60,64",3,5,Centriniskolektorinis,Mūrinis,Įrengtas,140000
Gargždų m.,1970,28,1,2,Centrinis,Mūrinis,Įrengtas,22500
Kvėdarnos mstl.,1980,75,4,2,Centrinis,Mūrinis,Įrengtas,37000
Klaipėdos m.,1986,77,3,5,Centrinis,Blokinis,Įrengtas,61000
Kybartų m.,1974,"33,29",1,1,Centrinis,Mūrinis,Įrengtas,10000
Klaipėdos m.,1990,"50,64",2,4,Centrinis,Mūrinis,Įrengtas,64100
Klaipėdos m.,1978,18,1,4,Centrinis,Mūrinis,Įrengtas,22000
