city,years,area,rooms,avg_heat_per_m,floor,building_type,heating_type,installation,price
Kazlų Rūdos m.,1988,"54,16",2,,3,Blokinis,Centrinis,Įrengtas,27000
Raseinių r. sav.,1980,"79,77",4,,4,Mūrinis,Centrinis,Įrengtas,29000
Palanga,2010,"58,2",2,,2,Monolitinis,Centrinis,Įrengtas,131000
Kauno r. sav.,2008,"47,35",3,,1,Mūrinis,Dujinis,Įrengtas,109000
Kėdainių m.,1966,"24,11",1,,5,Mūrinis,Centrinis,Įrengtas,11000
Akmenės r. sav.,1961,"43,64",2,,2,Mūrinis,Centrinis,Įrengtas,12900
Vilnius,1998,"150,88",4,"131,27",2,Blokinis,Centrinis,Įrengtas,370000
Kaunas,1936,46,3,"8,28",3,Mūrinis,Centrinis,Įrengtas,137000
Vilnius,1968,"49,39",2,"12,84",6,Blokinis,Centrinis,Įrengtas,110000
Vilnius,2002,"44,96",2,,5,Mūrinis,Dujinis,Įrengtas,98000
Radviliškio m.,1995,"69,63",3,,2,Blokinis,Centrinis,Įrengtas,59999
Vilnius,1950,35,1,"21,35",0,Mūrinis,Elektra,Įrengtas,73000
Kėdainių m.,1987,32,1,,5,Blokinis,Centrinis,Įrengtas,23000
Jurbarko m.,1990,65,2,,5,Blokinis,Centrinis,Įrengtas,26000
Vilnius,1992,"70,15",3,"45,60",8,Blokinis,Centrinis,Įrengtas,116000
Klaipėdos r. sav.,1948,27,1,,1,Mūrinis,"Elektra,kietukuru,kita",Įrengtas,34000
Vilnius,1966,"20,6",1,"10,71",4,Mūrinis,Centrinis,Įrengtas,39000
Palanga,1994,"75,4",3,,3,Mūrinis,Dujinis,Įrengtas,95000
Vilnius,1977,"46,36",2,"29,67",2,Blokinis,Centrinis,Įrengtas,73000
Ukmergės m.,1962,"44,49",2,,4,Mūrinis,Centrinis,Įrengtas,46500
Jonavos m.,1969,"43,98",2,,2,Blokinis,Centrinis,Įrengtas,54000
Vilnius,1986,35,1,"23,80",5,Mūrinis,Centrinis,Įrengtas,70000
Vilnius,1979,47,2,"29,61",3,Mūrinis,Centrinis,Įrengtas,45000
Vilnius,1988,69,3,"45,54",4,Blokinis,Centrinis,Įrengtas,120000
Vilnius,2016,46,2,"10,58",5,Kita,Centriniskolektorinis,Įrengtas,120000
Jonavos m.,1992,"51,19",2,,3,Blokinis,Centrinis,Įrengtas,42000
Mažeikių m.,1988,"63,08",3,,1,Blokinis,Centrinis,Įrengtas,62000
Klaipėda,1985,"42,93",1,,2,Blokinis,Centrinis,Įrengtas,52500
Vilnius,1938,16,1,,1,Mūrinis,Kietukuru,Įrengtas,14000
Kėdainių r. sav.,1977,"53,5",2,,1,Blokinis,"Centrinis,kietukuru",Įrengtas,20000
Panevėžys,1970,"47,88",2,"26,81",4,Blokinis,Centrinis,Įrengtas,38000
Panevėžys,1975,"35,83",1,"16,84",3,Blokinis,Centrinis,Įrengtas,40000
Vilnius,1985,36,1,"6,12",2,Blokinis,Centrinis,Įrengtas,69500
Vilnius,1940,"53,49",3,"34,23",3,Mūrinis,Centrinis,Įrengtas,112000
Marijampolės m.,1978,50,2,,5,Blokinis,Centrinis,Įrengtas,49500
Klaipėda,1983,64,3,,9,Blokinis,Centrinis,Įrengtas,87000
Klaipėda,1935,"45,21",2,,2,Mūrinis,Dujinis,Įrengtas,57950
Klaipėda,1989,"78,5",3,,5,Blokinis,Centrinis,Įrengtas,67000
Kaunas,1975,47,3,"20,21",5,Blokinis,Centrinis,Įrengtas,51500
Kaunas,1988,84,4,"48,72",9,Blokinis,Centrinis,Įrengtas,95000
Vilnius,2000,"98,15",3,"36,32",5,Mūrinis,Centrinis,Įrengtas,210000
Kėdainių r. sav.,1925,"96,3",3,,2,Mūrinis,Centrinis,Įrengtas,3500
Kaunas,1984,"24,04",1,"9,62",4,Mūrinis,Centrinis,Įrengtas,24900
Ukmergės m.,1960,"42,16",2,,3,Mūrinis,Centrinis,Įrengtas,37000
Vilnius,1994,"50,48",2,,1,Mūrinis,Centrinis,Įrengtas,75000
Klaipėda,1994,"38,5",1,,6,Monolitinis,Centrinis,Įrengtas,52000
Telšių m.,1978,"30,17",1,,3,Blokinis,Centrinis,Įrengtas,36000
Alytus,1995,44,2,,1,Mūrinis,Kita,Įrengtas,58000
Kaunas,1974,"44,4",2,"19,54",1,Blokinis,Centrinis,Įrengtas,53280
Jonavos m.,1984,51,2,,3,Blokinis,Centrinis,Įrengtas,54000
Vilnius,2017,"51,5",3,,5,Mūrinis,Centriniskolektorinis,Įrengtas,169900
Kaunas,1974,"63,86",3,"29,38",1,Blokinis,Centrinis,Įrengtas,60000
Šiauliai,1982,"49,76",2,"36,32",7,Blokinis,Centrinis,Įrengtas,52500
Švenčionių r. sav.,1970,36,2,,1,Mūrinis,"Centrinis,kietukuru",Įrengtas,25000
Vilnius,1986,67,3,,4,Blokinis,Centrinis,Įrengtas,118000
Vilnius,1985,35,1,"21,35",2,Blokinis,Centrinis,Įrengtas,61000
Vilnius,2008,"55,74",2,"21,18",3,Mūrinis,Centriniskolektorinis,Įrengtas,117000
Kalvarijos m.,1985,"46,89",2,,5,Blokinis,Centrinis,Įrengtas,12000
Klaipėda,1975,28,1,,1,Mūrinis,Centrinis,Įrengtas,41500
Kretingos m.,2020,"59,28",3,,4,Mūrinis,Centriniskolektorinis,Įrengtas,83000
Vilnius,1991,"35,5",2,,5,Blokinis,Centriniskolektorinis,Įrengtas,64900
Vilnius,1977,"33,5",2,"22,45",4,Mūrinis,Centrinis,Įrengtas,99000
Kaunas,1969,18,1,"8,64",4,Mūrinis,Centrinis,Įrengtas,24950
Utenos m.,1984,63,3,,3,Mūrinis,Centrinis,Įrengtas,75000
Vilnius,2020,"44,11",2,,8,Blokinis,Centriniskolektorinis,Įrengtas,144500
Panevėžio r. sav.,1979,"75,32",3,,2,Mūrinis,Centrinis,Įrengtas,69900
Telšių m.,1958,56,2,,1,Medinis,Kietukuru,Įrengtas,23000
Švenčionių r. sav.,1960,"50,81",3,,1,Mūrinis,Dujinis,Įrengtas,68000
Marijampolės m.,1965,94,4,,2,Mūrinis,Centriniskolektorinis,Įrengtas,94000
Vilnius,1940,"30,72",2,,2,Medinis,Kietukuru,Įrengtas,60000
Klaipėda,1960,17,1,,1,Mūrinis,Centrinis,Įrengtas,15900
Visagino m.,1990,49,2,,2,Blokinis,"Centrinis,centriniskolektorinis",Įrengtas,32000
Vilnius,1966,"48,65",2,"36,00",3,Mūrinis,Centrinis,Įrengtas,110000
Palanga,1984,64,3,,3,Mūrinis,Centriniskolektorinis,Įrengtas,120000
Kėdainių m.,1982,"50,8",2,,8,Blokinis,Centriniskolektorinis,Įrengtas,36000
Akmenės r. sav.,1992,49,2,,3,Mūrinis,Centrinis,Įrengtas,25000
Kaunas,1978,19,1,,1,Mūrinis,Centrinis,Įrengtas,23000
Kaunas,1970,50,3,"23,50",2,Blokinis,Centrinis,Įrengtas,69999
Utenos m.,1988,"41,96",2,,8,Mūrinis,Centrinis,Įrengtas,44000
Vilnius,2006,"57,22",2,"19,45",1,Mūrinis,Centriniskolektorinis,Įrengtas,105000
Vilnius,1988,36,1,"23,40",8,Mūrinis,Centrinis,Įrengtas,62700
Kaunas,1989,"121,11",6,"67,82",12,Mūrinis,Centrinis,Įrengtas,145000
Jonavos m.,1986,"50,42",2,,3,Blokinis,Centrinis,Įrengtas,39900
Klaipėda,1977,"49,11",2,,9,Blokinis,Centrinis,Įrengtas,56000
Vilnius,2007,74,3,"34,04",8,Mūrinis,Centriniskolektorinis,Įrengtas,225000
Šiauliai,1980,52,2,,5,Mūrinis,Centrinis,Įrengtas,47000
Vilnius,1960,112,5,"69,44",5,Mūrinis,Centrinis,Įrengtas,335000
Ukmergės m.,1985,49,2,,1,Kita,Centrinis,Įrengtas,55000
Vilnius,1986,"69,36",3,,3,Monolitinis,Centrinis,Įrengtas,107000
Neringos m.,2019,29,1,,2,Mūrinis,Elektra,Įrengtas,197200
Vilnius,2007,"58,3",2,"29,73",1,Mūrinis,Centriniskolektorinis,Įrengtas,187000
Vilnius,1981,50,2,,8,Blokinis,Centrinis,Įrengtas,105000
Elektrėnų m.,1983,"61,52",3,,6,Blokinis,Centrinis,Įrengtas,90000
Vilnius,1992,42,2,"33,18",2,Blokinis,Centrinis,Įrengtas,85300
Radviliškio m.,1959,"49,22",2,,3,Mūrinis,Centrinis,Įrengtas,73800
Kaunas,1985,38,1,"19,00",5,Mūrinis,Centrinis,Įrengtas,58500
Vilnius,1972,"27,3",1,"22,93",1,Mūrinis,Centrinis,Įrengtas,47770
Vilkaviškio r. sav.,1985,64,3,,4,Mūrinis,Centrinis,Įrengtas,20000
Vilnius,1969,"71,29",4,"41,35",3,Mūrinis,Centrinis,Įrengtas,125000
Vilnius,1982,64,3,"43,52",7,Blokinis,Centrinis,Įrengtas,96000
Vilnius,1986,"51,39",2,"30,83",1,Mūrinis,Centrinis,Įrengtas,127000
Visagino m.,1980,"36,57",2,,2,Blokinis,Centrinis,Įrengtas,24000
Vilnius,2007,44,2,"21,12",1,Mūrinis,Centriniskolektorinis,Įrengtas,142000
Alytus,1976,"73,04",4,,2,Mūrinis,Centrinis,Įrengtas,55000
Joniškio m.,1947,"43,13",2,,1,Medinis,Kietukuru,Įrengtas,26900
Klaipėda,1976,78,3,,1,Mūrinis,Centriniskolektorinis,Įrengtas,99000
Vilnius,1974,33,1,,2,Blokinis,Centrinis,Įrengtas,63000
Vilnius,1964,"18,5",1,,5,Mūrinis,Centrinis,Įrengtas,29900
Plungės m.,1981,33,2,,5,Blokinis,Centrinis,Įrengtas,39000
Vilnius,1977,"32,83",1,,1,Blokinis,Centrinis,Įrengtas,60900
Radviliškio m.,1998,50,2,,1,Blokinis,"Centrinis,elektra",Įrengtas,65000
Šiauliai,1969,"16,46",1,"16,46",3,Mūrinis,Centrinis,Įrengtas,9500
Šiauliai,1969,"18,09",1,"18,09",3,Mūrinis,Centrinis,Įrengtas,10500
Klaipėda,1990,82,4,,5,Mūrinis,Centriniskolektorinis,Įrengtas,85000
Kėdainių m.,1974,"50,01",2,,4,Blokinis,Centrinis,Įrengtas,38000
Prienų m.,1985,65,3,,1,Mūrinis,Centriniskolektorinis,Įrengtas,67000
Palanga,1988,"48,35",2,,2,Monolitinis,Elektra,Įrengtas,73000
Vilnius,1940,"82,25",4,,2,Mūrinis,"Centrinis,centriniskolektorinis,dujinis",Įrengtas,260000
Vilnius,1940,"170,74",7,,2,Mūrinis,Dujinis,Įrengtas,555000
Vilnius,2007,"69,63",3,"34,12",9,Mūrinis,Centriniskolektorinis,Įrengtas,245000
Vilnius,1968,27,1,,2,Blokinis,Centrinis,Įrengtas,35000
Vilnius,2005,"72,07",3,,2,Mūrinis,Centrinis,Įrengtas,323000
Palanga,2014,"52,44",2,,4,Mūrinis,Centriniskolektorinis,Įrengtas,151000
Širvintų r. sav.,1967,52,3,,2,Mūrinis,Kietukuru,Įrengtas,29000
Kaunas,2015,"64,5",2,,3,Mūrinis,Dujinis,Įrengtas,149500
Vilnius,1982,27,1,"20,52",3,Blokinis,Centrinis,Įrengtas,62000
Kauno r. sav.,2018,48,2,,3,Mūrinis,"Dujinis,geoterminis",Įrengtas,85000
Alytus,1985,"49,71",2,,3,Blokinis,Centrinis,Įrengtas,60000
Šiauliai,1965,"29,01",1,"15,38",3,Blokinis,Centrinis,Įrengtas,33500
Vilnius,1977,47,2,"28,20",5,Blokinis,Centrinis,Įrengtas,70000
Akmenės r. sav.,1990,"66,66",3,,5,Blokinis,"Elektra,centriniskolektorinis",Įrengtas,25000
Vilnius,1975,48,2,,4,Blokinis,Centrinis,Įrengtas,94500
Vilnius,1898,20,1,"17,80",2,Mūrinis,Centrinis,Įrengtas,69500
Plungės m.,1994,48,2,,2,Mūrinis,Centrinis,Įrengtas,55000
Kaunas,1987,"30,5",1,"11,90",2,Mūrinis,Centrinis,Įrengtas,32000
Panevėžys,1983,"50,31",2,"37,23",2,Mūrinis,Centrinis,Įrengtas,62000
Marijampolės m.,1970,"64,32",3,,4,Mūrinis,Centriniskolektorinis,Įrengtas,73000
Druskininkų m.,1980,"36,26",2,,9,Mūrinis,Centrinis,Įrengtas,46000
Šiauliai,1975,"30,48",1,"17,98",2,Kita,Centrinis,Įrengtas,29500
Telšių r. sav.,1978,"88,09",4,,1,Mūrinis,"Centrinis,kietukuru",Įrengtas,14000
Ukmergės m.,1980,35,1,,5,Mūrinis,Centrinis,Įrengtas,24900
Vilnius,1995,71,3,"38,34",1,Mūrinis,Centrinis,Įrengtas,153000
Palanga,1962,"15,43",1,,3,Mūrinis,Dujinis,Įrengtas,82000
Vilnius,2009,"45,42",1,"17,71",2,Mūrinis,Centriniskolektorinis,Įrengtas,119000
Klaipėda,1965,"55,17",3,,4,Mūrinis,Centrinis,Įrengtas,91000
Kaunas,1963,44,2,"19,36",3,Blokinis,Centrinis,Įrengtas,59999
Tauragės m.,1993,"51,48",2,,3,Blokinis,Centrinis,Įrengtas,47000
Palanga,1994,"30,05",1,,3,Mūrinis,Dujinis,Įrengtas,94000
Kaunas,1984,43,1,"20,21",16,Monolitinis,Centrinis,Įrengtas,63999
Alytus,1981,"68,29",3,,3,Blokinis,Centrinis,Įrengtas,89000
Vilnius,2018,"46,2",2,,5,Blokinis,Centriniskolektorinis,Įrengtas,185000
Alytus,1989,32,2,,1,Mūrinis,Centrinis,Įrengtas,55700
Rokiškio m.,1978,67,3,,3,Blokinis,Centrinis,Įrengtas,54000
Klaipėdos r. sav.,1901,56,2,,1,Mūrinis,"Elektra,kietukuru",Įrengtas,45000
Kauno r. sav.,2011,61,3,,2,Blokinis,Dujinis,Įrengtas,85000
Vilnius,1960,"52,51",3,"49,88",2,Mūrinis,Centrinis,Įrengtas,146000
Klaipėda,1975,33,1,,2,Blokinis,Centrinis,Įrengtas,38000
Kelmės r. sav.,1978,62,3,,1,Mūrinis,Kietukuru,Įrengtas,5500
Širvintų m.,1978,"47,84",2,,2,Mūrinis,Centrinis,Įrengtas,55000
